voyageid,departure,purchase,arrival,year,embarked,disembarked
92545.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1776.0,214.0,197.0
92553.0,Liverpool,"Windward Coast, port unspecified","Dominica, port unspecified",1774.0,230.0,197.0
92564.0,Liverpool,"Windward Coast, port unspecified",St. Croix,1775.0,352.0,288.0
94715.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1740.0,271.0,217.0
94720.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1740.0,331.0,283.0
94722.0,Liverpool,"Windward Coast, port unspecified",West Indies (colony unspecified),1740.0,240.0,197.0
94820.0,Liverpool,"Windward Coast, port unspecified",Kingston,1744.0,277.0,227.0
90766.0,Liverpool,"Windward Coast, port unspecified",NA,1758.0,230.0,197.0
90782.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1759.0,327.0,280.0
90787.0,Liverpool,"Windward Coast, port unspecified","North Carolina, port unspecified",1759.0,301.0,258.0
90792.0,Liverpool,"Windward Coast, port unspecified",West Indies (colony unspecified),1759.0,148.0,131.0
90813.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1760.0,280.0,240.0
90814.0,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1760.0,248.0,212.0
90816.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1762.0,230.0,197.0
90817.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1763.0,230.0,197.0
90820.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1768.0,269.0,230.0
90825.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1760.0,101.0,90.0
90835.0,Liverpool,"Windward Coast, port unspecified",Charleston,1760.0,214.0,190.0
90842.0,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1759.0,230.0,197.0
90872.0,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1760.0,230.0,197.0
90880.0,Liverpool,"Windward Coast, port unspecified",Rappahannock,1761.0,192.0,170.0
90881.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1762.0,124.0,110.0
90882.0,Liverpool,"Windward Coast, port unspecified",NA,1760.0,83.0,65.0
90885.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1755.0,192.0,157.0
90888.0,Liverpool,"Windward Coast, port unspecified",Rappahannock,1761.0,132.0,117.0
90895.0,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1761.0,176.0,158.0
90896.0,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1761.0,102.0,92.0
